,open,close,high,low,volume,money
2010-01-04,3592.47,3535.23,3597.75,3535.23,6610108000.0,93419838921.0
2010-01-05,3545.19,3564.04,3577.53,3497.66,8580964100.0,128302442618.0
2010-01-06,3558.7,3541.73,3588.83,3541.17,7847312500.0,121045989916.0
2010-01-07,3543.16,3471.46,3558.56,3452.77,8035003700.0,120436166283.0
2010-01-08,3456.91,3480.13,3482.08,3426.7,6079025300.0,90190959969.0
2010-01-11,3593.11,3482.05,3594.53,3465.32,8998017200.0,134114001104.0
2010-01-12,3477.84,3534.92,3535.41,3437.66,9374327800.0,134071416354.0
2010-01-13,3448.29,3421.14,3490.11,3415.69,11245790100.0,159860384574.0
2010-01-14,3433.47,3469.05,3470.32,3411.81,8335325200.0,118107870086.0
2010-01-15,3472.52,3482.74,3500.07,3448.66,7254310200.0,104035175785.0
2010-01-18,3471.78,3500.68,3501.26,3458.04,8285430700.0,117884258544.0
2010-01-19,3506.81,3507.48,3528.39,3497.09,7488323200.0,108023525533.0
2010-01-20,3512.25,3394.43,3515.45,3387.82,9249514600.0,128416164613.0
2010-01-21,3397.04,3408.57,3425.18,3364.72,7059506800.0,100076607006.0
2010-01-22,3364.45,3366.2,3390.8,3293.19,8893340400.0,119197815814.0
2010-01-25,3340.01,3328.01,3372.43,3326.27,5684917100.0,76626626843.0
2010-01-26,3328.11,3242.8,3341.2,3222.14,6175223100.0,81586059213.0
2010-01-27,3243.04,3198.57,3255.12,3183.36,5269139400.0,70540273182.0
2010-01-28,3195.29,3206.57,3220.31,3168.46,4699071600.0,64082115658.0
2010-01-29,3190.32,3204.16,3249.45,3176.92,5026261300.0,68018118702.0
2010-02-01,3198.23,3152.71,3198.31,3116.44,5700138000.0,75982150475.0
2010-02-02,3170.78,3146.19,3211.94,3143.09,5013003300.0,68318412373.0
2010-02-03,3160.71,3230.72,3231.1,3094.57,6479889400.0,87536249983.0
2010-02-04,3206.43,3218.8,3242.52,3190.44,5897272600.0,75466552963.0
2010-02-05,3147.72,3153.09,3177.42,3129.92,5910584500.0,73693132366.0
2010-02-08,3152.25,3150.99,3172.31,3133.81,3735595100.0,47902429250.0
2010-02-09,3147.76,3169.19,3178.95,3144.48,3595315800.0,45222660374.0
2010-02-10,3195.14,3214.13,3214.46,3182.83,3421989400.0,48152144637.0
2010-02-11,3216.69,3220.4,3238.35,3207.16,3579105200.0,46999712971.0
2010-02-12,3232.88,3251.28,3253.2,3228.74,3405823800.0,46703220577.0
2010-02-22,3248.95,3233.34,3261.95,3232.78,3828377200.0,49981333658.0
2010-02-23,3225.39,3198.63,3225.39,3152.93,4274289800.0,62386076936.0
2010-02-24,3177.08,3244.48,3244.82,3165.13,4998943700.0,64414097361.0
2010-02-25,3252.15,3292.13,3294.14,3249.33,6758661700.0,89485801632.0
2010-02-26,3286.09,3281.67,3301.15,3273.69,5210728800.0,70171666128.0
2010-03-01,3290.01,3324.42,3330.38,3287.56,6050452000.0,81205689009.0
2010-03-02,3327.1,3311.24,3339.89,3299.68,5703437400.0,76233992315.0
2010-03-03,3313.02,3335.08,3335.65,3293.92,6062273200.0,78442132954.0
2010-03-04,3338.67,3250.57,3345.91,3244.98,6934681000.0,89462913752.0
2010-03-05,3253.16,3259.76,3276.4,3239.68,4562913800.0,59621178434.0
2010-03-08,3268.4,3286.18,3293.93,3258.03,4154087600.0,54686555117.0
2010-03-09,3285.62,3305.86,3322.51,3255.98,5419948600.0,71971297725.0
2010-03-10,3304.04,3279.69,3321.08,3267.76,4642107900.0,61760429281.0
2010-03-11,3282.2,3276.7,3303.49,3251.7,4748775400.0,63732658851.0
2010-03-12,3277.31,3233.13,3284.26,3232.12,3995734400.0,52611210820.0
2010-03-15,3231.22,3183.18,3234.82,3171.8,3784430400.0,49219898122.0
2010-03-16,3183.78,3203.97,3204.29,3169.1,3084778000.0,41510426396.0
2010-03-17,3214.22,3273.92,3274.0,3207.27,4580093400.0,62587395428.0
2010-03-18,3277.88,3267.55,3295.37,3256.59,4694801300.0,62509130228.0
2010-03-19,3270.98,3293.87,3296.41,3251.14,4606218700.0,62114230718.0
2010-03-22,3297.82,3302.63,3313.92,3288.51,4943946200.0,65652976792.0
2010-03-23,3305.55,3275.57,3309.12,3272.92,4653953600.0,62145531443.0
2010-03-24,3282.05,3276.67,3298.54,3271.03,4454796600.0,58330301241.0
2010-03-25,3270.39,3229.13,3270.39,3222.82,4498428500.0,58604759567.0
2010-03-26,3226.8,3275.0,3285.39,3220.59,4744496500.0,61592843185.0
2010-03-29,3295.76,3358.54,3363.61,3293.67,8472491000.0,110326973484.0
2010-03-30,3361.35,3366.71,3372.26,3350.31,5643698000.0,78682669413.0
2010-03-31,3369.19,3345.61,3369.9,3338.74,5312428700.0,72120886278.0
2010-04-01,3349.88,3391.93,3392.48,3349.88,6777266900.0,92360495841.0
2010-04-02,3400.14,3407.35,3412.2,3391.81,6907345200.0,99040760060.0
2010-04-06,3422.85,3405.14,3436.29,3386.89,6519171000.0,93985883918.0
2010-04-07,3403.09,3386.95,3404.58,3369.02,5401122800.0,76733159936.0
2010-04-08,3381.31,3346.74,3381.31,3336.16,6218532200.0,89317468603.0
2010-04-09,3348.77,3379.17,3379.4,3342.47,5128056700.0,75590356319.0
2010-04-12,3388.36,3351.48,3393.56,3330.3,7456515000.0,105996609644.0
2010-04-13,3350.73,3391.72,3401.71,3324.05,7990769500.0,116440339286.0
2010-04-14,3394.64,3403.71,3404.52,3377.44,6030613100.0,90787568716.0
2010-04-15,3407.03,3394.57,3412.94,3365.88,6105168500.0,88700235636.0
2010-04-16,3388.29,3356.33,3388.29,3348.78,4714036800.0,67235596653.0
2010-04-19,3313.5,3176.42,3313.5,3175.44,8841630000.0,118855971989.0
2010-04-20,3176.41,3173.37,3196.65,3130.96,6413785900.0,88005965691.0
2010-04-21,3178.88,3236.68,3237.54,3164.76,6692833100.0,93373377791.0
2010-04-22,3222.68,3201.54,3231.99,3177.73,7108168800.0,98970386343.0
2010-04-23,3198.78,3190.0,3224.74,3172.58,6125267900.0,92115669956.0
2010-04-26,3195.46,3172.0,3207.72,3168.37,5089419900.0,74959121055.0
2010-04-27,3163.1,3108.41,3163.1,3060.85,6529657400.0,88058360562.0
2010-04-28,3080.32,3097.35,3122.11,3062.09,4599540600.0,65484924588.0
2010-04-29,3114.94,3060.06,3130.7,3059.8,4826097100.0,69250868103.0
2010-04-30,3060.12,3067.36,3068.13,3014.07,5447788100.0,73190884013.0
2010-05-04,3005.49,3019.45,3056.08,2994.92,4124861000.0,54558607131.0
2010-05-05,2981.78,3036.39,3036.86,2943.36,5967044100.0,80835340414.0
2010-05-06,3014.91,2896.86,3014.91,2895.39,5877041300.0,81502262034.0
2010-05-07,2835.88,2836.79,2892.53,2817.15,6111939900.0,79147499714.0
2010-05-10,2842.37,2858.23,2872.31,2798.52,5020917300.0,64909188147.0
2010-05-11,2916.34,2800.82,2922.13,2790.7,5836349000.0,73894666754.0
2010-05-12,2781.71,2818.16,2832.15,2756.42,5300227100.0,64693988243.0
2010-05-13,2818.58,2886.91,2886.97,2811.66,5514577800.0,67486536614.0
2010-05-14,2865.58,2868.02,2888.09,2849.24,4249871900.0,55175291043.0
2010-05-17,2828.88,2714.72,2828.88,2712.44,5216684700.0,62395513473.0
2010-05-18,2711.41,2771.35,2781.84,2686.97,5450967100.0,62746245805.0
2010-05-19,2748.95,2762.17,2803.7,2723.3,4557622100.0,54656401336.0
2010-05-20,2739.22,2726.02,2793.88,2721.07,4217480300.0,52677914862.0
2010-05-21,2656.42,2768.79,2769.09,2647.6,5447538300.0,63501808937.0
2010-05-24,2787.75,2873.47,2886.37,2787.75,7450233800.0,89961882752.0
2010-05-25,2851.26,2813.94,2855.33,2798.02,5516832700.0,67954988050.0
2010-05-26,2814.44,2813.94,2839.03,2797.63,3985856400.0,48495603059.0
2010-05-27,2808.05,2859.98,2866.86,2771.59,5344520900.0,65266773667.0
2010-05-28,2885.86,2850.3,2893.69,2835.07,5153498900.0,64342505421.0
2010-05-31,2835.33,2773.26,2857.42,2772.79,4621685400.0,56695803642.0
2010-06-01,2755.28,2744.16,2782.29,2710.59,4485142600.0,53230913831.0
2010-06-02,2729.33,2757.53,2757.91,2700.07,3958702000.0,46364229493.0
2010-06-03,2769.1,2736.08,2787.51,2735.7,3958725800.0,47143262922.0
2010-06-04,2721.36,2744.39,2748.48,2713.09,3274629100.0,39858363381.0
2010-06-07,2692.83,2695.72,2716.4,2673.34,3954199300.0,47062703369.0
2010-06-08,2694.11,2699.34,2720.59,2672.06,3514018200.0,42677104255.0
2010-06-09,2711.64,2782.13,2787.82,2687.33,6020953300.0,70710080539.0
